篇名代码,作文文件名,纯文本字数,国籍,作文分数,词汇丰富度与词汇扩展,基础词汇与叙事推进,人称指涉与信息密度,句法延展与分句复杂度,动作过程与动词链,语言来源
J1,J1_80_25,434,新加坡,80,0.0814748311153984,-0.4254449491550357,0.1645716015189846,0.050107994591610534,2.4164980331259307,学习者
J1,J1_80_26,452,新加坡,80,0.8695043574514921,-0.9412749023026347,0.48107931736972437,0.4157989508930291,0.009046774292562036,学习者
J1,J1_80_27,500,新加坡,80,1.235686069478141,-0.47395699034834776,0.8369038929296931,-0.38772366355853655,-1.0557545638057135,学习者
J1,J1_80_28,446,马来西亚,80,0.9455866796950736,-0.42639330611471604,1.132716525659381,0.31396042519299383,0.6261731414914611,学习者
J1,J1_80_29,403,印度尼西亚,80,0.03574375775165066,0.2562918325860487,1.7965365076843915,-0.25490152109902176,0.4524138981583826,学习者
J1,J1_80_30,376,泰国,80,-0.1463096132008431,-0.21450365518879863,1.5598344146099303,0.19575426409862032,-0.32844056085937945,学习者
J1,J1_80_31,365,新加坡,80,1.6741702445306907,-0.21726007057136862,1.0973644515599985,1.4772421639159925,-0.9569336086695398,学习者
J1,J1_80_32,437,法国,80,1.054299008554548,0.1681030685680457,0.26987917295779773,-0.2535156049112583,-0.47498859501231955,学习者
J1,J1_80_33,475,葡萄牙,80,0.2402807773919076,-0.3686814389822801,1.5257562371932687,0.5150707941843127,-1.0673827933393036,学习者
J1,J1_80_34,428,马来西亚,80,0.5057654043543955,0.16836791140321658,1.099046410137026,1.1578418355812605,-0.8502894389748503,学习者
J1,J1_80_35,380,新加坡,80,0.9145061640010117,-1.7993910835309066,0.7188297780337801,-0.13570369054118306,-0.40138379472175956,学习者
J1,J1_80_36,453,马来西亚,80,0.1480002566604771,-0.2118269022651079,1.4124634410486736,0.02246964181166457,-0.5349789639228838,学习者
J1,J1_80_37,462,越南,80,0.6841494636128513,0.2643567122004652,0.8935552921809405,0.5335837586070604,0.06910282358444443,学习者
J1,J1_80_38,329,马来西亚,80,2.2320025902408935,-0.926670111464211,0.20603960133962412,1.7912306536267826,-0.052648336967900874,学习者
J1,J1_80_39,376,泰国,80,0.7076482447175562,1.3936920108341262,1.5221990753847696,-0.1269126310241866,-0.06762324633586872,学习者
J1,J1_80_40,443,缅甸,80,0.2249094249912948,0.060845588034588935,0.740888294995143,2.18816208708753,0.9550104042187253,学习者
J1,J1_80_41,318,新加坡,80,1.6724930720129014,0.7742794578792435,0.6602804801340897,0.7742459286495977,1.4526994160858333,学习者
J1,J1_80_42,473,马来西亚,80,2.6180057129943246,-0.9439965726619375,-0.6359717304568747,1.1014774570554944,-0.20701366608811644,学习者
J1,J1_80_43,592,马来西亚,80,1.3147085315191884,-0.7943148191512476,0.21600609582057748,-0.04230299144276555,1.06722437728392,学习者
J1,J1_80_44,322,印度尼西亚,80,-1.0179925109648986,0.24938889008767767,0.806885964544876,0.38262306791526496,-0.2871118092180837,学习者
J1,J1_85_01,376,日本,85,-0.9080193170713026,1.0451006996358865,1.3435995528350668,-1.455565517496439,-1.5012208276892165,学习者
