维度,项,系数,HC3标准误,t值,p值,95%CI下限,95%CI上限,样本量,调整R平方,BH校正p值
句法延展与分句复杂度,"C(对应题目, Treatment(reference='J1'))[T.Y2]",-0.3109275296803863,0.11481535749023464,-2.708065684565164,0.006767662666876521,-0.5359614952333374,-0.08589356412743526,800,0.2258713898106246,0.011713262308055517
句法延展与分句复杂度,"C(语言来源, Treatment(reference='学习者'))[T.公开网络母语参照]:C(对应题目, Treatment(reference='J1'))[T.J2]",0.4999215096702989,0.3832970988621076,1.3042663541008102,0.19214278288838704,-0.25132699947812054,1.2511700188187183,800,0.2258713898106246,0.2543066244111005
句法延展与分句复杂度,"C(语言来源, Treatment(reference='学习者'))[T.公开网络母语参照]:C(对应题目, Treatment(reference='J1'))[T.Y1]",-0.10186381912646801,0.38747733367486414,-0.2628897493445201,0.792635557344668,-0.8613054379548108,0.6575777997018748,800,0.2258713898106246,0.8492523828692871
句法延展与分句复杂度,"C(语言来源, Treatment(reference='学习者'))[T.公开网络母语参照]:C(对应题目, Treatment(reference='J1'))[T.Y2]",-0.007014253726962287,0.34925613129828803,-0.02008340898952364,0.9839768351856164,-0.6915436924513991,0.6775151849974745,800,0.2258713898106246,0.9839768351856164
句法延展与分句复杂度,log纯文本字数,0.5522838553576708,0.1801703299042783,3.0653429765660674,0.0021742051111241834,0.19915649766258542,0.9054112130527561,800,0.2258713898106246,0.004253879565242968
动作过程与动词链,Intercept,-2.109411646653216,0.9616659816314299,-2.193497208952613,0.028271575459752247,-3.994242335808176,-0.22458095749825624,800,0.21125442656891036,0.04543646056031611
动作过程与动词链,"C(语言来源, Treatment(reference='学习者'))[T.公开网络母语参照]",-0.1772981740434612,0.15187699414943887,-1.1673800567122712,0.2430569213728896,-0.4749716126565619,0.12037526456963948,800,0.21125442656891036,0.30382115171611196
动作过程与动词链,"C(对应题目, Treatment(reference='J1'))[T.J2]",-0.4586716985127076,0.09509897038246341,-4.82309846960539,1.4134514669329056e-06,-0.6450622554291772,-0.27228114159623806,800,0.21125442656891036,5.300443000998396e-06
动作过程与动词链,"C(对应题目, Treatment(reference='J1'))[T.Y1]",0.8609094957089181,0.1112385431652541,7.739309336602561,9.995831338951613e-15,0.6428859574123158,1.0789330340055203,800,0.21125442656891036,6.425891575040322e-14
动作过程与动词链,"C(对应题目, Treatment(reference='J1'))[T.Y2]",0.03515511567116739,0.0967183327025403,0.3634793393232682,0.7162468439189409,-0.1544093330705741,0.22471956441290888,800,0.21125442656891036,0.8057776994088085
动作过程与动词链,"C(语言来源, Treatment(reference='学习者'))[T.公开网络母语参照]:C(对应题目, Treatment(reference='J1'))[T.J2]",0.7726552245825273,0.20358744244956797,3.79520080062859,0.0001475240080027861,0.37363116967675314,1.1716792794883015,800,0.21125442656891036,0.00036881002000696523
动作过程与动词链,"C(语言来源, Treatment(reference='学习者'))[T.公开网络母语参照]:C(对应题目, Treatment(reference='J1'))[T.Y1]",-0.37552000153196285,0.23704058215515725,-1.5842013132002963,0.11314791456217939,-0.8401110054304789,0.08907100236655319,800,0.21125442656891036,0.15429261076660827
动作过程与动词链,"C(语言来源, Treatment(reference='学习者'))[T.公开网络母语参照]:C(对应题目, Treatment(reference='J1'))[T.Y2]",0.8762901659749063,0.20192778377719026,4.339621569569724,1.4272829106785782e-05,0.480518982293622,1.2720613496561906,800,0.21125442656891036,4.014233186283501e-05
动作过程与动词链,log纯文本字数,0.3384146099893902,0.15953210773821488,2.1212946709430653,0.033897012558470906,0.025737424444725376,0.651091795534055,800,0.21125442656891036,0.05259881259073071
