序号,等级原文,主等级,兼属等级,等级组,词语,拼音,词性,PDF页码
251,1,1,,初等,雪,xuě,名,86
252,1,1,,初等,要,yào,动,86
253,1,1,,初等,也,yě,副,86
254,1,1,,初等,一,yī,数,86
255,1,1,,初等,衣服,yīfu,名,86
256,1,1,,初等,医生,yīshēng,名,86
257,1,1,,初等,医院,yīyuàn,名,86
258,1,1,,初等,一半,yíbàn,数,86
259,1（4）,1,4,初等,一下,yíxià,数量、（副）,86
260,1,1,,初等,椅子,yǐzi,名,86
261,1,1,,初等,一点儿,yìdiǎnr,数量,86
262,1,1,,初等,一些,yìxiē,数量,86
263,1,1,,初等,有,yǒu,动,86
264,1,1,,初等,有的,yǒude,代,86
265,1,1,,初等,有点儿,yǒudiǎnr,副,86
266,1（3）,1,3,初等,有些,yǒuxiē,代、（副）,86
267,1,1,,初等,雨,yǔ,名,86
268,1,1,,初等,元,yuán,量,86
269,1,1,,初等,月,yuè,名,86
270,1,1,,初等,再,zài,副,86
271,1,1,,初等,在,zài,动、介、副,86
272,1,1,,初等,再见,zàijiàn,动,86
273,1,1,,初等,早,zǎo,形,86
274,1,1,,初等,早饭,zǎofàn,名,86
275,1,1,,初等,早上,zǎoshang,名,86
276,1,1,,初等,怎么,zěnme,代,86
277,1,1,,初等,怎么样,zěnmeyàng,代,86
278,1,1,,初等,找,zhǎo,动,86
279,1,1,,初等,这,zhè,代,86
280,1,1,,初等,这边,zhèbiān,代,86
281,1,1,,初等,这个,zhège,代,87
282,1,1,,初等,这里,zhèlǐ,代,87
283,1,1,,初等,这儿,zhèr,代,87
284,1,1,,初等,这些,zhèxiē,代,87
285,1（4）,1,4,初等,真,zhēn,副、（形）,87
286,1,1,,初等,正在,zhèngzài,副,87
287,1,1,,初等,只,zhī,量,87
288,1,1,,初等,知道,zhīdào,动,87
289,1,1,,初等,中国,Zhōngguó,名,87
290,1,1,,初等,中文,Zhōngwén,名,87
291,1,1,,初等,中午,zhōngwǔ,名,87
292,1,1,,初等,中学,zhōngxué,名,87
293,1,1,,初等,中学生,zhōngxuéshēng,名,87
294,1,1,,初等,住,zhù,动,87
295,1,1,,初等,桌子,zhuōzi,名,87
296,1,1,,初等,字,zì,名,87
