字段名,类别,初始顺序,筛选状态,筛选原因,零值比例,标准差,相关变量,相关系数,MSA,共同度
平均句长_字,句段结构,57,最终保留,进入最终MF/MD模型,0.0,7.754571745108321,,,0.7132949860512602,0.7675574777445296
句长中位数_字,句段结构,58,删除,与保留变量绝对相关系数≥0.85,0.0,7.819574599189748,平均句长_字,0.9173160937472852,,
句长标准差_字,句段结构,59,最终保留,进入最终MF/MD模型,0.0,5.458715627841747,,,0.8815873657566566,0.5442131599788884
最长句长度_字,句段结构,60,删除,与保留变量绝对相关系数≥0.85,0.0,18.61332550042559,句长标准差_字,0.9374326483016389,,
平均句长_词,句段结构,61,删除,与保留变量绝对相关系数≥0.85,0.0,5.057413457901791,平均句长_字,0.9830257938910055,,
句长中位数_词,句段结构,62,删除,与保留变量绝对相关系数≥0.85,0.0,5.080800050910262,平均句长_字,0.9067187372180944,,
句长标准差_词,句段结构,63,删除,与保留变量绝对相关系数≥0.85,0.0,3.5478194027874177,句长标准差_字,0.9806002818300579,,
最长句长度_词,句段结构,64,删除,与保留变量绝对相关系数≥0.85,0.0,12.126626514137074,句长标准差_字,0.9146358346938955,,
超过30字长句每千字,句段结构,66,最终保留,进入最终MF/MD模型,0.02903225806451613,4.8204372126646575,,,0.8192088453089903,0.36960126571108126
超过30字长句占比,句段结构,67,删除,与保留变量绝对相关系数≥0.85,0.02903225806451613,0.20455722404813792,平均句长_字,0.9086530461007153,,
平均段落长度_字,句段结构,68,删除,选定模型中共同度<0.30,0.0,67.34975033579455,,,0.6167224736110659,0.08704550643684392
逗号每千字,句段结构,70,最终保留,进入最终MF/MD模型,0.0,14.937985951003526,,,0.7420691298620206,0.3743330762859717
分句每千字,句段结构,72,删除,选定模型中共同度<0.30,0.0,16.20734515482628,,,0.7203302393986075,0.20795741542423005
平均每句逗号数,句段结构,73,删除,与保留变量绝对相关系数≥0.85,0.0,0.6687827890367868,平均每句分句数,0.9945280172768202,,
平均每句分句数,句段结构,74,最终保留,进入最终MF/MD模型,0.0,0.6877080109964762,,,0.6993406553582416,0.9563495458342685
名词每千字,词性,76,删除,选定模型中共同度<0.30,0.0,26.74940000080495,,,0.5698934948347935,0.27760643325213064
代词每千字,词性,78,最终保留,进入最终MF/MD模型,0.0,29.42975453992165,,,0.7813669261531248,0.6270340330859673
动词每千字,词性,80,最终保留,进入最终MF/MD模型,0.0,22.953232941217124,,,0.539651440185633,0.935151908426169
形容词每千字,词性,82,删除,变量级MSA<0.50,0.0,11.968918164579375,,,0.4815761228301253,
副词每千字,词性,84,删除,选定模型中共同度<0.30,0.0,16.24092988445079,,,0.5935436024864866,0.2497412277059485
介词每千字,词性,86,删除,变量级MSA<0.50,0.0,10.342899975687779,,,0.14472684769053484,
连词每千字,词性,88,删除,选定模型中共同度<0.30,0.0016129032258064516,9.942206704230019,,,0.6410470400969749,0.12234968006995094
助词每千字,词性,90,删除,变量级MSA<0.50,0.0,14.252581046499246,,,0.4670664991809824,
数词每千字,词性,92,删除,变量级MSA<0.50,0.008064516129032258,9.649209800776191,,,0.3697962927727163,
量词每千字,词性,94,删除,选定模型中共同度<0.30,0.04516129032258064,7.750123522871875,,,0.6577929989974989,0.22384487793213048
时间词每千字,词性,96,最终保留,进入最终MF/MD模型,0.14677419354838708,9.834022570212886,,,0.8793442515777599,0.32060520001130205
方位词每千字,词性,98,删除,变量级MSA<0.50,0.025806451612903226,7.900765195388546,,,0.27014770998431575,
后缀每千字,词性,100,删除,选定模型中共同度<0.30,0.603225806451613,6.240094020254978,,,0.7913074644587036,0.20794121157624923
语气词每千字,词性,102,删除,选定模型中共同度<0.30,0.23709677419354838,5.046872642123779,,,0.7766610228632632,0.20504271924702425
区别词每千字,词性,104,删除,选定模型中共同度<0.30,0.43548387096774194,3.887889578462651,,,0.8017313557293172,0.0902759656976426
