字段名,类别,共同度,独特性,D1_词汇丰富度与词汇扩展,D2_基础词汇与叙事推进,D3_人称指涉与信息密度,D4_句法延展与分句复杂度,D5_动作过程与动词链,主要维度,主要载荷
连续动词结构每千字,记叙描写,0.6253699205548493,0.3746300794451507,0.012308602117372282,-0.035430829244921004,-0.19811988478509182,-0.036789012998058424,0.7637788652372841,动作过程与动词链,0.7637788652372841
1级词汇占比,HSK,0.6679681060550061,0.3320318939449939,-0.35728570776326357,0.5449497309916045,0.47835029064292117,-0.043708527224281146,-0.11231822588077539,基础词汇与叙事推进,0.5449497309916045
1级词汇种类每千字,HSK,0.5186099003810728,0.4813900996189272,0.20209842258379268,0.603971596599495,0.27126829738953195,-0.19747665302613482,0.02002300707317673,基础词汇与叙事推进,0.603971596599495
1级词汇内部TTR,HSK,0.5103070449596283,0.4896929550403717,0.5962945875803474,0.16293697180461147,-0.23654737754197572,-0.24879408944680984,0.10167690118951186,词汇丰富度与词汇扩展,0.5962945875803474
2级词汇占比,HSK,0.3883508390874174,0.6116491609125826,-0.13385841830101367,0.5921474294690957,0.10401968384768494,0.0370109342755576,0.08720252763990617,基础词汇与叙事推进,0.5921474294690957
2级词汇种类每千字,HSK,0.40365640383668294,0.596343596163317,0.07814921248646879,0.5943202402032326,0.1842296589354425,-0.05936763592620709,0.08287021830708217,基础词汇与叙事推进,0.5943202402032326
4级词汇占比,HSK,0.5384514574710654,0.4615485425289346,-0.008517747635115681,-0.7302421456132824,0.03522200758269337,-0.062284989563077306,0.0023031442359411625,基础词汇与叙事推进,-0.7302421456132824
4级词汇内部TTR,HSK,0.3977889866807778,0.6022110133192222,0.5081551498572511,0.36741621470583724,-0.06209400728930823,-0.023196608949767855,-0.013375616529844423,词汇丰富度与词汇扩展,0.5081551498572511
5级词汇占比,HSK,0.58864555490528,0.41135444509471997,0.24624324139175058,-0.6866546321798133,-0.2140871670442336,-0.01868453198721096,0.10165043163490645,基础词汇与叙事推进,-0.6866546321798133
6级词汇占比,HSK,0.36498033670817115,0.6350196632918288,0.36909040294452294,-0.45672384614897515,-0.09670240303754182,0.05268003474256736,0.08960691216415634,基础词汇与叙事推进,-0.45672384614897515
中等词汇占比,HSK,0.9055256570881551,0.09447434291184487,0.23195365193480486,-0.9133729585656012,-0.09280647155375416,-0.04887277432870995,0.08044507300351113,基础词汇与叙事推进,-0.9133729585656012
高等词汇占比,HSK,0.4080023574827485,0.5919976425172515,0.37377146242422804,-0.45968657073323693,0.1590355392440998,0.15458591193956392,-0.08829723174976037,基础词汇与叙事推进,-0.45968657073323693
非HSK词汇占比,HSK,0.6737436824706468,0.32625631752935325,0.30266223563558103,0.11829858932224088,-0.7435534484045808,0.12302812375030114,0.011706728288618186,人称指涉与信息密度,-0.7435534484045808
非HSK词汇种类每千字,HSK,0.5431085910850372,0.4568914089149628,0.6439714939877802,0.150189466688774,-0.2514038021338183,0.16196275023040554,-0.1281273816262102,词汇丰富度与词汇扩展,0.6439714939877802
非HSK词汇TTR,HSK,0.5968270407215293,0.40317295927847074,0.41661842106973207,-0.051962788352985456,0.6248765110114388,-0.02274030562758635,-0.1719541365004362,人称指涉与信息密度,0.6248765110114388
非HSK专名每千字,HSK,0.581376028578043,0.41862397142195695,0.1676731030881488,0.5284238186577976,-0.37579539514152444,0.006024089979085512,-0.36437831752766864,基础词汇与叙事推进,0.5284238186577976
